# Generated from FirepadCN/pocket_dict_5000 (MIT), derived from ECDICT (MIT).
# word<TAB>concise Simplified Chinese meaning
a	第一个字母A
abandon	放弃
abandoned	被抛弃的
abandoning	放弃
abandons	放弃
abilities	能力
ability	能力
able	能干的
abnormal	反常的
abnormals	反常的
aboard	在船上
abolish	废止
abolished	废止
abolishes	废止
abolishing	废止
abortion	流产
abortions	流产
about	在...周围
above	在上方
abroad	往国外
abrupt	突然的
absence	缺席
absences	缺席
absent	缺席的
absented	缺席的
absenting	缺席的
absents	缺席的
absolute	绝对的
absolutely	完全地
absolutes	绝对的
absorb	吸收
absorbed	吸收
absorbing	吸收
absorbs	吸收
abstract	抽象的
abstracted	抽象的
abstracting	抽象的
abstracts	抽象的
absurd	荒谬的
absurds	荒谬的
abundant	丰富的
abuse	滥用
abused	滥用
abuses	滥用
abusing	滥用
academic	学院的
academics	学院的
academies	学院
academy	学院
accelerate	加速
accelerated	加速
accelerates	加速
accelerating	加速
accent	重音
accented	重音
accenting	重音
accents	重音
accept	接受
acceptable	可接受的
accepted	接受
accepting	接受
accepts	接受
access	通路
accessed	通路
accesses	通路
accessible	易接近的
accessing	通路
accident	意外事件
accidental	意外的
accidentally	偶然地
accidentals	意外的
accidents	意外事件
accommodation	膳宿
accommodations	膳宿
accompanied	陪伴
accompanies	陪伴
accompany	陪伴
accompanying	陪伴
accomplish	完成
accomplished	完成
accomplishes	完成
accomplishing	完成
according	相符的
account	报告
accountant	会计人员
accountants	会计人员
accounted	报告
accounting	报告
accounts	报告
accumulate	积聚
accumulated	积聚
accumulates	积聚
accumulating	积聚
accuracies	精确
accuracy	精确
accurate	正确的
accurately	正确地
accuse	指责
accused	指责
accuses	指责
accusing	指责
accustomed	惯常的
ache	疼痛
ached	疼痛
aches	疼痛
achieve	完成
achieved	完成
achievement	完成
achievements	完成
achieves	完成
achieving	完成
aching	疼痛
acid	酸
acids	酸
acknowledge	承认
acknowledged	承认
acknowledges	承认
acknowledging	承认
acquaintance	认识
acquaintances	认识
acquire	获得
acquired	获得
acquires	获得
acquiring	获得
acquisition	获得
acquisitions	获得
acre	英亩
acres	英亩
across	越过
act	行动
acted	行动
acting	行动
action	行动
actioned	行动
actioning	行动
actions	行动
active	活跃的
actively	活跃地
actives	活跃的
activist	激进主义分子
activists	激进主义分子
activities	活动
activity	活动
actor	男演员
actors	男演员
actress	女演员
actresses	女演员
acts	行动
actual	真实的
actually	事实上
actuals	真实的
acute	尖锐的
acutes	尖锐的
acutest	尖锐的
ad	广告
adam	亚当
adapt	使适应
adaptation	适应
adaptations	适应
adapted	使适应
adapting	使适应
adapts	使适应
add	增加
added	增加
addicted	沉溺于...的
adding	增加
addition	加法
additional	附加的
additions	加法
address	住址
addressed	住址
addresses	住址
addressing	住址
adds	增加
adequate	适当的
adequately	足够地
adjust	调整
adjusted	调整
adjusting	调整
adjustment	调整
adjustments	调整
adjusts	调整
administration	行政
administrations	行政
administrative	管理的
administrator	管理人
administrators	管理人
admirable	可钦佩的
admiration	赞赏
admirations	赞赏
admire	赞美
admired	赞美
admires	赞美
admiring	赞美
admission	准许进入
admissions	准许进入
admit	承认
admits	承认
admitted	承认
admitting	承认
adolescence	青春期
adolescences	青春期
adolescent	青春期的
adolescents	青春期的
adopt	采用
adopted	采用
adopting	采用
adopts	采用
adore	崇拜
adored	崇拜
adores	崇拜
adoring	崇拜
ads	广告
adult	成人
adults	成人
advance	前进
advanced	在前的
advances	前进
advancing	前进
advantage	优点
advantaged	优点
advantages	优点
advantaging	优点
adventure	冒险
adventured	冒险
adventures	冒险
adventuring	冒险
advertise	做广告
advertised	做广告
advertisement	广告
advertisements	广告
advertises	做广告
advertising	广告业
advice	忠告
advise	劝告
advised	劝告
adviser	顾问
advisers	顾问
advises	劝告
advising	劝告
advocate	提倡者
advocated	提倡者
advocates	提倡者
advocating	提倡者
aeroplane	飞机
aeroplanes	飞机
affair	事件
affairs	事件
affect	影响
affected	影响
affecting	影响
affection	影响
affections	影响
affects	影响
afford	买得起
afforded	买得起
affording	买得起
affords	买得起
afraid	害怕的
africa	非洲
african	非洲人
africans	非洲人
after	在...之后
afternoon	午后
afternoons	午后
afterward	然后
afterwards	然后
again	再一次
against	反对
age	年龄
aged	老的
ageing	年龄
agencies	代理机构
agency	代理机构
agenda	pl.议程
agendas	pl.议程
agent	代理商
agents	代理商
ages	年龄
aggression	侵犯
aggressions	侵犯
aggressive	侵略的
ago	以前
agree	同意
agreed	同意
agreeing	同意
agreement	同意
agreements	同意
agrees	同意
agricultural	农业的
agriculture	农业
ah	啊
ahead	领先的
ahs	啊
ai	附加信息
aid	帮助
aided	帮助
aiding	帮助
aids	爱滋病
aim	目标
aimed	目标
aiming	目标
aims	目标
air	空气
aircraft	航空器
aired	空气
airing	空气
airline	航线
airlines	航线
airmail	航空邮件
airmailed	航空邮件
airmailing	航空邮件
airmails	航空邮件
airplane	飞机
airplanes	飞机
airport	飞机场
airports	飞机场
airs	空气
airspace	空域
airspaces	空域
ais	附加信息
alan	艾伦
alarm	惊恐
alarmed	受惊的
alarming	使人惊恐的
alarms	惊恐
album	粘贴簿
albums	粘贴簿
alcohol	酒精
alcoholic	酒鬼
alcoholics	酒鬼
alcohols	酒精
algebra	代数学
algebras	代数学
alike	相似的
alive	活着的
all	所有的
allergic	对...过敏的
alley	小路
alleys	小路
alliance	联盟
alliances	联盟
allied	联盟的
allies	同盟者
allocate	分派
allocated	分派
allocates	分派
allocating	分派
allow	允许
allowance	津贴
allowanced	津贴
allowances	津贴
allowancing	津贴
allowed	允许
allowing	允许
allows	允许
ally	同盟者
allying	同盟者
almost	几乎
alone	孤独的
along	平行地
alongside	在旁边
aloud	出声地
alphabet	字母
alphabetical	依字母顺序的
alphabetically	按字母顺序地
alphabets	字母
already	已经
alright	没问题的
also	也
alter	改变
altered	改变
altering	改变
alternative	两者择一
alternatively	非此即彼
alternatives	两者择一
alters	改变
although	虽然
altitude	高度
altitudes	高度
altogether	完全地
aluminium	铝
always	总是
am	be的单数第一人称
amateur	业余爱好者
amateurs	业余爱好者
amaze	使吃惊
amazed	吃惊的
amazes	使吃惊
amazing	令人惊异的
ambassador	大使
ambassadors	大使
ambiguous	不明确的
ambition	野心
ambitions	野心
ambulance	救护车
ambulances	救护车
amer	be的单数第一人称
america	美洲
american	美国人
americans	美国人
among	在...之中
amongst	在...当中
amount	总数
amounted	总数
amounting	总数
amounts	总数
ample	大量的
ampler	大量的
ams	be的单数第一人称
amuse	消遣
amused	愉快的
amusement	兴味
amusements	兴味
amuses	消遣
amusing	有趣的
an	一
analyse	分析
analysed	分析
analyses	分析
analysing	分析
analysis	分析
analyst	分析者
analysts	分析者
analyze	分析
analyzed	分析
analyzes	分析
analyzing	分析
ancestor	祖先
ancestors	祖先
ancient	古代的
ancients	古代的
and	和
andrew	安德鲁
anecdote	轶事
anecdotes	轶事
anger	忿怒
angered	忿怒
angering	忿怒
angers	忿怒
angle	角
angled	角
angles	角
angling	角
angrier	生气的
angrily	愤怒地
angry	生气的
animal	动物
animals	动物
ankle	踝
ankles	踝
anne	安妮
anniversaries	周年纪念
anniversary	周年纪念
announce	宣布
announced	宣布
announcement	公告
announcements	公告
announces	宣布
announcing	宣布
annoy	使恼怒
